h1,h2,h3,h4,p1,p2,p3,p4,pt,   cost
1.701397788,2.280436221,3.186898454,3.314842648,1.925380283,0.58654149,0.9003262,4,7.412247972,10004.55792
1.836151782,2.507267237,2.997515458,3.262102124,1.927111663,0.597330714,0.930940337,4,7.455382714,10004.56001
1.595129118,2.000743225,2.026774262,2.446095224,2.593180007,0.799985443,1.293380301,5.313454249,10,10004.56406
2.149965668,2.426364716,2.904035947,3.218439722,1.973507744,0.608510097,0.952858452,4,7.534876294,10004.56484
1.09985757,2.643426582,3.397797338,3.69237245,1.734544117,0.530969468,0.82527778,4,7.090791365,10004.56586
1.710038812,2.079660198,2.728036267,3.56446561,1.948032868,0.550310521,0.916874562,4,7.415217951,10004.56636
2.40471213,2.977728226,3.015037589,3.060715065,1.960014818,0.646227862,0.977907128,4,7.584149808,10004.57433
1.127642916,1.341435512,1.550642567,3.14135971,2.651033637,0.630334821,1.275228765,5.443402776,10,10004.57536
1.061859996,2.306434941,3.673539289,3.808557248,1.745912917,0.52006315,0.792280196,4,7.058256264,10004.57565
2.405073449,2.559812423,3.081937557,3.116872491,1.987432994,0.636146785,0.960632499,4,7.584212279,10004.57667
1.653324267,2.197420066,3.260265565,3.422575557,1.925118549,0.581657972,0.888381453,4,7.395157974,10004.58052
1.025939875,1.546411591,3.716435674,4.341655959,1.835971191,0.4601189,0.72919392,4,7.025284011,10004.58385
1.291286574,1.455254044,2.415964283,3.858156507,2.137477264,0.518199308,0.932112712,4.362210717,7.95,10004.58462
1.410313921,2.185453963,2.975993658,3.212618878,2.03901992,0.622713431,0.958735652,4.329530997,7.95,10004.58522
1.06817751,2.151206027,2.396999508,3.63694001,1.985884264,0.551920252,0.96910849,4.443086994,7.95,10004.58847
1.178831689,1.369543631,2.706875099,4.838765905,1.940936358,0.42066822,0.7900979,4,7.151702478,10004.60194
2.027069916,2.163544864,2.559991295,2.74665028,2.335271487,0.741220369,1.131846697,4.701661448,8.91,10004.60211
1.561742786,2.52327554,2.830737191,3.247186858,2.025577557,0.638001211,0.991266079,4.295155153,7.95,10004.61904
1.839876665,1.871279752,2.266315241,4.065633803,1.995439474,0.509900476,0.951145357,4,7.456485308,10004.61968
1.803196838,2.158918123,2.744218624,3.310065793,2.080454825,0.626428704,0.990831158,4.252285313,7.95,10004.61989
1.250042494,1.73768322,2.986309114,3.560459138,2.075246241,0.58245292,0.917314437,4.374986402,7.95,10004.62002
1.170446041,1.300876194,3.658405585,3.750130085,2.158262546,0.558102784,0.8314471,4.40218757,7.95,10004.62899
1.017491693,2.018925777,2.141797925,3.329476947,2.229454203,0.633621919,1.100519374,4.946404503,8.91,10004.63674
1.972343606,2.016155379,2.11449254,2.555731905,2.621243997,0.826161884,1.299088594,5.253505524,10,10004.63759
1.431226359,1.491188755,2.940761538,3.076296537,2.388127584,0.688736839,1.028784829,4.804350749,8.91,10004.64097
2.405073449,2.559812423,3.081937557,3.116872491,2.078880097,0.681873186,1.006352805,4.182893861,7.949999948,10004.64401
2.149965668,2.426364716,2.904035947,3.218439722,2.077288671,0.660400561,1.004748915,4.207561853,7.95,10004.64407
1.152546202,2.17401683,2.480480769,4.574330463,1.796166932,0.46652062,0.869668272,4,7.132355824,10004.64801
1.076463403,2.638003922,3.30502087,3.384979244,1.944795378,0.631575324,0.934145313,4.439483982,7.949999996,10004.64979
1.836151782,2.507267237,2.997515458,3.262102124,2.050765985,0.659157875,0.992767497,4.247308643,7.95,10004.65546
1.243952847,2.77729106,3.618029156,3.792696951,1.778087049,0.570815193,0.847208767,4,7.196111009,10004.66217
1.701397788,2.280436221,3.186898454,3.314842648,2.05981829,0.653760492,0.967545205,4.268876014,7.95,10004.66317
1.095032605,2.075148023,2.920302414,4.543548256,1.784339258,0.480007817,0.822438107,4,7.086785183,10004.66945
1.710038812,2.079660198,2.728036267,3.56446561,2.08172838,0.617158277,0.983722318,4.267391024,7.95,10004.678
1.436694061,2.66277662,3.307708939,3.800721528,1.839752712,0.580940407,0.883264468,4,7.303957588,10004.68167
1.167376555,1.836032533,2.838377482,3.857256679,2.045670923,0.574352154,0.926666111,4.403310812,7.95,10004.68501
1.135205892,1.612678593,3.51802948,4.592472361,1.869594445,0.482629025,0.766879059,4,7.119102529,10004.68547
1.304306741,1.932182611,2.220705423,4.903790325,1.875429304,0.453786259,0.90409362,4,7.233309183,10004.68942
1.653324267,2.197420066,3.260265565,3.422575557,2.063829056,0.651013225,0.957736706,4.277421013,7.95,10004.6907
1.97537691,1.990082138,2.008905809,2.761129489,2.624687785,0.812206272,1.30998969,5.253116252,10,10004.69715
1.881627233,2.074359661,2.848581989,3.956728325,1.975310793,0.571091228,0.922143086,4,7.468545107,10004.70472
1.797756203,1.878473969,1.990262076,2.383704729,2.932111267,0.948658933,1.451105325,5.888124475,11.22,10004.70546
1.081498596,1.982115051,2.978768475,3.213836114,2.248595066,0.704187139,1.039896345,4.917321451,8.91,10004.70626
2.182077526,2.374997629,2.540146942,3.907273904,1.981387096,0.583328016,0.977006028,4,7.541721141,10004.71335
1.747982642,1.930166526,2.658798264,3.770296666,2.103522991,0.604661605,0.980771374,4.26104403,7.95,10004.71359
1.118807512,2.358796115,2.55803286,4.827043998,1.765068138,0.475098835,0.866024227,4,7.1061912,10004.71954
1.119459664,1.844124499,2.210333693,2.956569284,2.547809343,0.776563115,1.22898349,5.446644052,10,10004.7207
1.262324289,1.704476648,1.708037837,3.228047593,2.595297809,0.711570168,1.297037292,5.396094731,10,10004.72115
1.076078026,1.632570619,4.255829774,4.621349929,1.841615144,0.497056205,0.732028009,4,7.070699358,10004.72118
1.510896466,3.23723249,3.663155218,3.712153264,1.823524301,0.620803316,0.893813657,4,7.338141275,10004.72446
1.142976858,1.556322975,2.371107564,3.003755074,2.602542987,0.7691295,1.190873336,5.437454176,10,10004.72695
1.326348264,2.019985894,3.837822245,4.151508263,1.870551584,0.557467092,0.81803153,4,7.246050206,10004.72872
1.045932049,2.777194839,3.389925326,3.635027197,1.928516519,0.636724602,0.931716352,4.453042527,7.95,10004.7288
1.000704175,1.466516987,1.723560152,2.352255535,3.236119806,0.987018802,1.567213232,6.78964816,12.58,10004.73193
1.839876665,1.871279752,2.266315241,4.065633803,2.118818147,0.571589812,1.012834694,4.246757346,7.95,10004.73287
1.595129118,2.000743225,2.026774262,2.446095224,2.898180007,0.952485443,1.445880301,5.923454249,11.22,10004.73547
1.052099303,1.919869016,2.224646776,4.503316799,2.010314278,0.519967924,0.969477487,4.450240311,7.95,10004.74053
1.389970346,1.451554389,1.51501601,2.894816219,2.969598377,0.810311343,1.470370375,5.969719904,11.22,10004.74231
1.023209126,2.622608161,3.183025447,3.790438041,1.933820576,0.619177126,0.933343638,4.46365866,7.95,10004.74285
1.211629399,2.188476143,2.205066589,4.275841818,2.009635758,0.54959788,1.003098924,4.387667438,7.95,10004.74416
1.09985757,2.643426582,3.397797338,3.69237245,1.949346276,0.638370547,0.932678859,4.429604317,7.95,10004.74722
1.528584174,2.504853611,3.031485497,4.131150769,1.872512387,0.57170809,0.90157937,4,7.345799847,10004.74924
1.579708105,2.695793812,3.636548894,3.863994068,1.868959955,0.611512857,0.886498848,4,7.36697166,10004.7497
1.491536856,1.656147953,2.767048842,4.741766864,1.96668069,0.500737021,0.862132882,4,7.329550593,10004.75462
1.069368645,1.581848361,4.472533528,4.7931385,1.848520316,0.496380774,0.719967695,4,7.064868785,10004.75669
1.936192061,2.240987226,3.295984107,3.924988011,1.964877109,0.607622841,0.911022362,4,7.483522312,10004.75912
2.159143405,2.296539454,3.4283962,3.790264578,1.986145564,0.629513114,0.921194688,4,7.536853366,10004.75959
1.255561958,2.291463339,2.808272156,4.650476066,1.81997312,0.51373996,0.869830804,4,7.203543885,10004.76092
2.707429317,2.711535353,2.986327852,3.690391565,1.999720346,0.648033091,0.982892507,4,7.630645944,10004.76192
2.631179931,2.790907343,2.814314654,3.534031553,2.0716388,0.679003046,1.034329341,4.165028813,7.95,10004.76537
2.499505253,2.803700994,3.43623602,3.614559726,1.97829612,0.665304302,0.956320403,4,7.599920825,10004.76756
1.00829728,2.44376727,3.544762768,4.728027218,1.708716636,0.50870302,0.790809346,4,7.008229002,10004.76772
1.061859996,2.306434941,3.673539289,3.808557248,1.968848851,0.631531115,0.903748165,4.445871868,7.949999999,10004.76775
2.394618678,3.369585208,3.482381016,3.548931337,1.939590598,0.677822125,0.964984214,4,7.582396938,10004.76789
2.027069916,2.163544864,2.559991295,2.74665028,2.607771487,0.877470368,1.268096698,5.246661448,10,10004.76982
1.044654994,1.352231957,3.202697715,4.52817309,2.117945588,0.53309536,0.845332134,4.453626918,7.95,10004.77144
1.079628547,1.132107705,1.585907115,4.036778512,2.710092967,0.598115416,1.228669369,5.463122248,10,10004.77166
1.826983255,2.147993471,3.699474682,3.968622212,1.959100187,0.611620384,0.881929038,4,7.452649609,10004.77707
1.103814634,1.510876135,4.598134202,4.864181864,1.877959206,0.499306029,0.716785552,4,7.094050786,10004.77767
1.331501443,2.296801246,3.660663374,4.285593591,1.842178137,0.566807738,0.839982269,4,7.248968144,10004.77783
2.192453571,2.512155878,3.155969047,3.872319536,1.970977235,0.628026438,0.944886326,4,7.543889999,10004.77902
1.06817751,2.151206027,2.396999508,3.63694001,2.225884264,0.671920252,1.08910849,4.923086994,8.91,10004.78397
1.127642916,1.341435512,1.550642567,3.14135971,2.956033637,0.782834821,1.427728765,6.053402776,11.22,10004.79042
1.561742786,2.52327554,2.830737191,3.247186858,2.265577557,0.758001211,1.111266079,4.775155153,8.91,10004.79134
1.291286574,1.455254044,2.415964283,3.858156507,2.377477264,0.638199308,1.052112712,4.842210717,8.91,10004.79172
1.803196838,2.158918123,2.744218624,3.310065793,2.320454825,0.746428704,1.110831158,4.732285313,8.91,10004.79524
1.566079229,3.099994483,3.49253781,4.008640882,1.84202196,0.616557998,0.902882743,4,7.361462701,10004.79558
2.366045595,2.488334642,3.712215857,3.751191377,1.9896167,0.659040921,0.928694703,4,7.577352323,10004.79606
2.164876037,2.357503646,3.197035251,3.977007447,1.981128643,0.622080675,0.934870469,4,7.538079787,10004.79661
2.257595188,2.815343512,3.579649233,3.745989689,1.956123618,0.660785097,0.940142078,4,7.557050792,10004.79714
2.182077526,2.374997629,2.540146942,3.907273904,2.083456811,0.634362873,1.028040886,4.20413943,7.95,10004.79852
2.40471213,2.977728226,3.015037589,3.060715065,2.291459755,0.811968736,1.14364622,4.662925096,8.909999807,10004.80125
1.091619475,2.628806998,3.093780212,4.843095581,1.732165278,0.51426771,0.837496877,4,7.083929865,10004.80349
2.405073449,2.559812423,3.081937557,3.116872491,2.318879979,0.80187238,1.126353809,4.662893886,8.910000054,10004.80709
1.025939875,1.546411591,3.716435674,4.341655959,2.067150188,0.575708399,0.844783418,4.462357995,7.95,10004.80716
1.250042494,1.73768322,2.986309114,3.560459138,2.315246241,0.70245292,1.037314437,4.854986402,8.91,10004.80779
1.972343606,2.016155379,2.11449254,2.555731905,2.926243997,0.978661884,1.451588594,5.863505524,11.22,10004.80785
1.119748913,1.756202901,4.16968618,4.86189428,1.838176468,0.514469989,0.754296191,4,7.106942647,10004.80789
2.149965668,2.426364716,2.904035947,3.218439722,2.317288671,0.780400561,1.124748915,4.687561853,8.91,10004.81216
1.436694061,2.66277662,3.307708939,3.800721528,2.001263315,0.661695709,0.96401977,4.323021206,7.95,10004.81349
1.178831689,1.369543631,2.706875099,4.838765905,2.140510739,0.52045541,0.88988509,4.399148761,7.95,10004.8149
1.243952847,2.77729106,3.618029156,3.792696951,1.966559297,0.665051318,0.941444889,4.376944496,7.95,10004.81653
1.431226359,1.491188755,2.940761538,3.076296537,2.660627583,0.824986844,1.165034824,5.349350749,10,10004.82289
2.707429317,2.711535353,2.986327852,3.690391565,2.07955886,0.687952348,1.022811764,4.159677028,7.95,10004.82327
1.836151782,2.507267237,2.997515458,3.262102124,2.290765986,0.779157874,1.112767497,4.727308643,8.91,10004.82444
1.170446041,1.300876194,3.658405585,3.750130085,2.398262523,0.678102537,0.951447322,4.88218757,8.909999952,10004.82496
1.076463403,2.638003922,3.30502087,3.384979244,2.184795403,0.751574138,1.05414649,4.919483984,8.910000016,10004.82541
1.711007951,1.879214493,3.263424187,4.015509449,2.107455911,0.634446036,0.940872643,4.26722541,7.95,10004.82685
1.691686818,3.021125638,3.436810855,4.100874,1.869938245,0.623984184,0.914951607,4,7.408874037,10004.83142
2.499505253,2.803700994,3.43623602,3.614559726,2.065815914,0.709064199,1.0000803,4.175039588,7.95,10004.83307
1.017491693,2.018925777,2.141797925,3.329476947,2.501954203,0.769871919,1.236769374,5.491404503,10,10004.8332
1.701397788,2.280436221,3.186898454,3.314842648,2.29981829,0.773760487,1.087545209,4.748876014,8.91,10004.83386
1.203932194,2.880532499,2.915854535,4.802889981,1.758273236,0.534081283,0.877033919,4,7.169388438,10004.83396
1.29913106,2.543466201,2.587374745,4.973870778,1.811709489,0.516026546,0.902518686,4,7.230254721,10004.83457
2.394618678,3.369585208,3.482381016,3.548931337,2.031487392,0.723748629,1.010962456,4.183801531,7.950000008,10004.83537
1.659729037,2.121233424,4.036456504,4.245037791,1.934457925,0.607646019,0.855388069,4,7.397492013,10004.83975
2.159143405,2.296539454,3.4283962,3.790264578,2.089432223,0.681156443,0.972838017,4.206573317,7.95,10004.84067
1.510896466,3.23723249,3.663155218,3.712153264,1.976488439,0.697294769,0.970287428,4.305929362,7.949999998,10004.84337
2.365385189,3.217663423,3.724792762,3.810711137,1.944010226,0.682376824,0.950848821,4,7.57723587,10004.84813
1.152546202,2.17401683,2.480480769,4.574330463,2.000577976,0.568726142,0.971873794,4.408822088,7.95,10004.84861
1.891004292,2.302643952,2.609295796,4.602923612,1.952731926,0.56760169,0.950846855,4,7.47118047,10004.85305
1.936192061,2.240987226,3.295984107,3.924988011,2.081496531,0.665932552,0.969332073,4.233238844,7.95,10004.85351
3.063429081,3.550360345,3.5924869,3.696177948,1.977619843,0.708794929,0.987153646,4,7.673568418,10004.85593
2.192453571,2.512155878,3.155969047,3.872319536,2.072504735,0.678790188,0.995650076,4.203055,7.95,10004.85937
1.453883768,2.035495331,2.88084428,3.033082769,2.573687233,0.867642929,1.214763392,5.343906446,10,10004.86062
1.653324267,2.197420066,3.260265565,3.422575557,2.303829056,0.771013222,1.07773671,4.757421013,8.91,10004.86348
1.579708105,2.695793812,3.636548894,3.863994068,2.014717041,0.684391399,0.95937739,4.29151417,7.95,10004.86571
2.366045595,2.488334642,3.712215857,3.751191377,2.08277657,0.70528938,0.975611582,4.186323838,7.95000137,10004.86688
1.236157525,1.279919009,2.303235645,2.980760161,2.993410121,0.888969435,1.32314125,6.014479194,11.22,10004.86782
1.469053998,1.833772944,1.916428984,3.453845811,2.602484349,0.767678363,1.289482202,5.340355086,10,10004.86847
2.257595188,2.815343512,3.579649233,3.745989689,2.054360921,0.709903747,0.989260728,4.196474604,7.95,10004.87156
1.234394066,1.361634644,2.902399233,4.959266061,2.152177181,0.536611623,0.881154162,4.380057035,7.95,10004.87232
1.97537691,1.990082138,2.008905809,2.761129489,2.929687785,0.964706272,1.46248969,5.863116252,11.22,10004.87329
1.304306741,1.932182611,2.220705423,4.903790325,2.054602008,0.543372611,0.993679972,4.358345408,7.95,10004.87365
1.797756203,1.878473969,1.990262076,2.383704729,3.272111267,1.118658933,1.621105325,6.568124475,12.58,10004.87442
1.095032605,2.075148023,2.920302414,4.543548256,2.000142963,0.58790967,0.930339959,4.431607409,7.95,10004.87625
1.528584174,2.504853611,3.031485497,4.131150769,2.023562425,0.647233109,0.977104389,4.302100076,7.95,10004.87728
1.826983255,2.147993471,3.699474682,3.968622212,2.083437784,0.673789186,0.944097834,4.248675196,7.95,10004.87736
1.678677862,3.506281788,3.646980203,4.164631758,1.844747749,0.642672942,0.916872401,4,7.404293091,10004.87833
1.167376555,1.836032533,2.838377482,3.857256679,2.285670923,0.694352154,1.046666111,4.883310812,8.91,10004.87904
2.164876037,2.357503646,3.197035251,3.977007447,2.084108696,0.673570701,0.986360496,4.205960106,7.95,10004.87923
2.246965565,2.611895747,3.121506483,4.233488356,1.968909512,0.632843851,0.953201988,4,7.554955351,10004.87937
1.326348264,2.019985894,3.837822245,4.151508263,2.046539033,0.645460816,0.906025255,4.351974897,7.95,10004.87956
3.159639425,3.1858454,3.205445592,3.904443515,1.998698308,0.686420387,0.998389495,4,7.68350819,10004.87974
1.388914555,2.746616792,3.484773602,4.582906871,1.822048793,0.585500912,0.8724636,4,7.280013305,10004.881
1.135205892,1.612678593,3.51802948,4.592472361,2.077318813,0.586491209,0.870741243,4.415448736,7.95,10004.88497
1.081498596,1.982115051,2.978768475,3.213836114,2.521095066,0.840437139,1.176146345,5.462321451,10,10004.88793
1.676838881,2.791622891,3.854742444,4.308925229,1.880927177,0.63164595,0.891066655,4,7.403639782,10004.89597
1.527420273,2.475709224,4.029505227,4.456589005,1.874613001,0.611259459,0.859428885,4,7.345301344,10004.8969
2.224329619,3.221507625,3.234529818,4.157834506,1.930420006,0.655421196,0.964585141,4,7.550426343,10004.89729
2.547598582,2.926531707,3.561763523,4.03563883,1.974587444,0.676063121,0.956822917,4,7.607473482,10004.89854
1.747982642,1.930166526,2.658798264,3.770296666,2.343522991,0.724661605,1.100771374,4.74104403,8.91,10004.90002
1.491536856,1.656147953,2.767048842,4.741766864,2.121793042,0.578293196,0.939689058,4.310224703,7.95,10004.90386
1.595129118,2.000743225,2.026774262,2.446095224,3.238180007,1.122485443,1.615880301,6.603454249,12.58,10004.90524
1.119459664,1.844124499,2.210333693,2.956569284,2.852809343,0.929063115,1.38148349,6.056644052,11.22,10004.90567
3.063429081,3.550360345,3.5924869,3.696177948,2.046726034,0.7433493,1.021708859,4.138215791,7.949999984,10004.90595
1.045932049,2.777194839,3.389925326,3.635027197,2.168516521,0.756724601,1.051716351,4.933042527,8.91,10004.90717
1.186923347,1.707645167,3.187456132,3.901261266,2.309672278,0.70517036,1.018900167,4.876257195,8.91,10004.9073
2.595395522,2.914111163,3.377811685,4.107683122,1.97893004,0.669861286,0.965910946,4,7.614702271,10004.9075
1.198937578,3.110172094,3.482800832,4.852178613,1.743726918,0.567538034,0.854663267,4,7.16592822,10004.90835
1.422884554,1.571338556,4.858579241,4.915160275,1.96680071,0.561896743,0.768503641,4,7.297201095,10004.91217
1.967522904,2.376996921,2.38761344,4.950105661,1.956222804,0.558347816,0.977176084,4,7.491746704,10004.91222
1.566079229,3.099994483,3.49253781,4.008640882,1.989156285,0.69012516,0.976449906,4.294268649,7.95,10004.91321
1.142976858,1.556322975,2.371107564,3.003755074,2.907542987,0.9216295,1.343373336,6.047454176,11.22,10004.91393
1.000704175,1.466516987,1.723560152,2.352255535,3.621119806,1.179518802,1.759713232,7.55964816,14.12,10004.9163
2.365385189,3.217663423,3.724792762,3.810711137,2.037201362,0.728970946,0.997445591,4.186382065,7.949999964,10004.91759
1.432272191,3.726840143,3.901602413,4.408035551,1.785066268,0.630218736,0.886523684,4,7.301808688,10004.91763
1.262324289,1.704476648,1.708037837,3.228047593,2.900297809,0.864070168,1.449537292,6.006094731,11.22,10004.92192
1.09985757,2.643426582,3.397797338,3.69237245,2.189346276,0.758370547,1.05267886,4.909604317,8.91,10004.92607
1.023209126,2.622608161,3.183025447,3.790438041,2.173820576,0.739177126,1.053343638,4.94365866,8.91,10004.92668
1.118807512,2.358796115,2.55803286,4.827043998,1.976020338,0.580574935,0.971500327,4.4219044,7.95,10004.92693
2.367324986,3.395561139,3.729676747,4.083714505,1.936042212,0.686710163,0.954829915,4,7.57758229,10004.92764
1.331501443,2.296801246,3.660663374,4.285593591,2.017436101,0.65443672,0.927611251,4.350515928,7.95,10004.92776
1.076078026,1.632570619,4.255829774,4.621349929,2.061440305,0.606968785,0.841940589,4.439650321,7.95,10004.9279
3.159639425,3.1858454,3.205445592,3.904443515,2.065321261,0.719731863,1.031700971,4.133245905,7.95,10004.92985
1.839876665,1.871279752,2.266315241,4.065633803,2.358818147,0.691589812,1.132834694,4.726757346,8.91,10004.93045
2.732686144,3.052801976,3.353662794,4.153096803,1.980813809,0.677532223,0.975713663,4,7.634059695,10004.93125
2.631179931,2.790907343,2.814314654,3.534031553,2.3116388,0.799003046,1.154329341,4.645028813,8.91,10004.93497
1.410313921,2.185453963,2.975993658,3.212618878,2.551519921,0.87896343,1.214985652,5.354530997,10,10004.935
1.891969149,1.926610226,3.657447748,4.702086185,1.995248251,0.601393599,0.874808305,4,7.471450155,10004.93652
2.027069916,2.163544864,2.559991295,2.74665028,2.912771487,1.029970366,1.4205967,5.856661448,11.22,10004.93696
1.691686818,3.021125638,3.436810855,4.100874,2.005219736,0.691624929,0.982592353,4.270562982,7.95,10004.9397
1.389970346,1.451554389,1.51501601,2.894816219,3.309598377,0.980311343,1.640370375,6.649719904,12.58,10004.94029
1.195617451,4.255017935,4.465893008,4.576015242,1.699317955,0.620187161,0.84410689,4,7.163612006,10004.94035
2.519440358,3.357312586,3.981590956,4.05375597,1.950471858,0.700724013,0.951890409,4,7.603086279,10004.94133
1.700182813,2.906898581,4.259995997,4.385853684,1.877918614,0.64958329,0.884326052,4,7.411827956,10004.94448
1.489811114,3.04297613,3.611745012,4.665318232,1.828699808,0.611599844,0.888474318,4,7.328773969,10004.9461
1.061859996,2.306434941,3.673539289,3.808557248,2.208848851,0.751531117,1.023748164,4.925871869,8.910000001,10004.94944
1.211629399,2.188476143,2.205066589,4.275841818,2.249635758,0.66959788,1.123098924,4.867667438,8.91,10004.94976
1.659729037,2.121233424,4.036456504,4.245037791,2.072584922,0.676709514,0.924451571,4.276253993,7.95,10004.95332
2.175007447,2.283833925,3.933997794,4.435664131,1.989045834,0.648495639,0.902689986,4,7.540231459,10004.95476
1.775662005,2.83873045,2.9036387,4.804444713,1.894549954,0.59894217,0.943337635,4,7.436829759,10004.95516
